Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MIR197","MicroRNA 197","RNA Gene","","28","GC01P109598","26.0435352325439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197"
"MIR27B","MicroRNA 27b","RNA Gene","","30","GC09P103712","25.9400100708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27B"
"SNHG7","Small Nucleolar RNA Host Gene 7","RNA Gene","","30","GC09M138985","25.8631420135498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNHG7"
"MIR191","MicroRNA 191","RNA Gene","","30","GC03M054249","25.8284358978271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR191"
"MIR377","MicroRNA 377","RNA Gene","","27","GC14P119063","25.7821674346924","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR377"
"MIR99A","MicroRNA 99a","RNA Gene","","30","GC21P016539","25.7792072296143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A"
"LNCR5","Lung Cancer Susceptibility 5","Genetic Locus","","2","GC03U901837","25.7388782501221","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCR5"
"MIR339","MicroRNA 339","RNA Gene","","30","GC07M001022","25.6601982116699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR339"
"MIR32","MicroRNA 32","RNA Gene","","31","GC09M109046","25.6549644470215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR32"
"MIR425","MicroRNA 425","RNA Gene","","29","GC03M054248","25.5928249359131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR425"
"NTRK3","Neurotrophic Receptor Tyrosine Kinase 3","Protein Coding","Q16288","65","GC15M087859","25.5888729095459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK3"
"MIRLET7E","MicroRNA Let-7e","RNA Gene","","29","GC19P133538","25.5566005706787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7E"
"PCAT1","Prostate Cancer Associated Transcript 1","RNA Gene","","25","GC08P126553","25.5244064331055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT1"
"MIR203A","MicroRNA 203a","RNA Gene","","28","GC14P118123","25.3372707366943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A"
"PGBD3","PiggyBac Transposable Element Derived 3","Protein Coding","Q8N328","36","GC10M049517","25.1785449981689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGBD3"
"MIR345","MicroRNA 345","RNA Gene","","28","GC14P100307","25.0730819702148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR345"
"IDH2","Isocitrate Dehydrogenase (NADP(+)) 2","Protein Coding","P48735","65","GC15M090083","25.0698909759521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH2"
"PCAT6","Prostate Cancer Associated Transcript 6","RNA Gene","","25","GC01P202810","25.0423126220703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCAT6"
"MIR95","MicroRNA 95","RNA Gene","","26","GC04M008022","25.0203857421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR95"
"MIR128-2","MicroRNA 128-2","RNA Gene","","29","GC03P035754","24.9791698455811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR128-2"
"CHRNA5","Cholinergic Receptor Nicotinic Alpha 5 Subunit","Protein Coding","P30532","56","GC15P078565","24.9513740539551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA5"
"POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","Q07864","60","GC12M132798","24.8896827697754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE"
"LINC00511","Long Intergenic Non-Protein Coding RNA 511","RNA Gene","","25","GC17M091151","24.8617115020752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00511"
"MIR511","MicroRNA 511","RNA Gene","","25","GC10P017845","24.8168392181396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR511"
"MIRLET7A2","MicroRNA Let-7a-2","RNA Gene","","28","GC11M122146","24.7615013122559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A2"
"MIR22HG","MIR22 Host Gene","RNA Gene","Q0VDD5","34","GC17M088017","24.754861831665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22HG"
"B2M","Beta-2-Microglobulin","Protein Coding","P61769","62","GC15P044711","24.7443695068359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B2M"
"LOC130004293","ATAC-STARR-Seq Lymphoblastoid Silent Region 2590","Functional Element","","8","GC10P118248","24.7109146118164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130004293"
"LOC130003807","ATAC-STARR-Seq Lymphoblastoid Active Region 3353","Functional Element","","9","GC10P051199","24.6194648742676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130003807"
"GATA3","GATA Binding Protein 3","Protein Coding","P23771","63","GC10P008045","24.583137512207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3"
"TINCR","TINCR Ubiquitin Domain Containing","Protein Coding","A0A2R8Y7D0","32","GC19M005558","24.5445785522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINCR"
"LINC01433","Long Intergenic Non-Protein Coding RNA 1433","RNA Gene","","22","GC20P009593","24.4117736816406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01433"
"PCBP2-OT1","PCBP2 Overlapping Transcript 1","RNA Gene","","15","GC12P053464","24.3757400512695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCBP2-OT1"
"CHRNA3","Cholinergic Receptor Nicotinic Alpha 3 Subunit","Protein Coding","P32297","58","GC15M155702","24.3141784667969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA3"
"CYP1A1","Cytochrome P450 Family 1 Subfamily A Member 1","Protein Coding","P04798","59","GC15M074719","24.3069381713867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1"
"MIR324","MicroRNA 324","RNA Gene","","30","GC17M007223","24.3013153076172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR324"
"MIR219A1","MicroRNA 219a-1","RNA Gene","","30","GC06P033207","24.2985725402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR219A1"
"RMRP","RNA Component Of Mitochondrial RNA Processing Endoribonuclease","RNA Gene","","33","GC09M035655","24.2257270812988","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RMRP"
"MIR429","MicroRNA 429","RNA Gene","","30","GC01P059856","24.2200469970703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR429"
"MIR124-3","MicroRNA 124-3","RNA Gene","","25","GC20P068091","24.0534210205078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-3"
"CASC8","Cancer Susceptibility 8","RNA Gene","","24","GC08M136757","24.04563331604","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC8"
"MIR125B2","MicroRNA 125b-2","RNA Gene","","30","GC21P016590","23.9547538757324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B2"
"GSTM1","Glutathione S-Transferase Mu 1","Protein Coding","P09488","55","GC01P109687","23.8913192749023","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM1"
"MIR218-2","MicroRNA 218-2","RNA Gene","","25","GC05M168768","23.7933731079102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR218-2"
"TP53COR1","Tumor Protein P53 Pathway Corepressor 1","RNA Gene","","16","GC06U903133","23.7732982635498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53COR1"
"LNCR4","Lung Cancer Susceptibility 4","Genetic Locus","","1","GC06U901642","23.7683067321777","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCR4"
"CD274","CD274 Molecule","Protein Coding","Q9NZQ7","58","GC09P005450","23.7216033935547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD274"
"MIR181C","MicroRNA 181c","RNA Gene","","29","GC19P132486","23.6367206573486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181C"
"SPRY4-IT1","SPRY4 Intronic Transcript 1","RNA Gene","","21","GC05M142318","23.4573841094971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPRY4-IT1"
"MIRLET7A3","MicroRNA Let-7a-3","RNA Gene","","29","GC22P046112","23.4343738555908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7A3"
"POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","P28340","59","GC19P133473","23.3746490478516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1"
"MIRLET7F1","MicroRNA Let-7f-1","RNA Gene","","27","GC09P103672","23.3594856262207","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7F1"
"LINC00313","Long Intergenic Non-Protein Coding RNA 313","RNA Gene","P59037","28","GC21M043440","23.2730731964111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00313"
"MIR199B","MicroRNA 199b","RNA Gene","","29","GC09M128244","23.2198963165283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199B"
"ARAF","A-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P10398","59","GC0XP059201","23.2068214416504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARAF"
"RHOA","Ras Homolog Family Member A","Protein Coding","P61586","62","GC03M049359","23.1724014282227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"ERCC1","ERCC Excision Repair 1, Endonuclease Non-Catalytic Subunit","Protein Coding","P07992","59","GC19M101124","23.1482772827148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC1"
"LOC126860933","BRD4-Independent Group 4 Enhancer GRCh37_chr10:50679962-50681161","Functional Element","","9","GC10P049471","23.1355648040771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126860933"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","P40763","66","GC17M042313","23.0368423461914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"LINC01186","Long Intergenic Non-Protein Coding RNA 1186","RNA Gene","","20","GC0XM046258","23.0353336334229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01186"
"ZEB2-AS1","ZEB2 Antisense RNA 1","RNA Gene","","27","GC02P149189","23.0071220397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZEB2-AS1"
"LINC00857","Long Intergenic Non-Protein Coding RNA 857","RNA Gene","","21","GC10P116008","23.0071220397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00857"
"RNY3","RNA, Ro60-Associated Y3","RNA Gene","","24","GC07P161644","22.9904842376709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY3"
"TUG1","Taurine Up-Regulated 1","Protein Coding","A0A6I8PU40","33","GC22P030969","22.8782806396484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUG1"
"PRAL","P53 Regulation Associated LncRNA","RNA Gene","","17","GC17M088250","22.772367477417","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAL"
"MIR24-2","MicroRNA 24-2","RNA Gene","","28","GC19M100410","22.7711944580078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR24-2"
"MIR29B2","MicroRNA 29b-2","RNA Gene","","27","GC01M207839","22.69211769104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR29B2"
"RNY1","RNA, Ro60-Associated Y1","RNA Gene","","25","GC07M148987","22.5685138702393","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY1"
"ARHGAP27P1","Rho GTPase Activating Protein 27 Pseudogene 1","Pseudogene","","13","GC17M090078","22.506254196167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP27P1"
"NEXN-AS1","NEXN Antisense RNA 1","RNA Gene","Q8NBZ9","30","GC01M078144","22.4839267730713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEXN-AS1"
"CPS1-IT1","CPS1 Intronic Transcript 1","RNA Gene","","25","GC02P210617","22.4738883972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPS1-IT1"
"MAP3K8","Mitogen-Activated Protein Kinase Kinase Kinase 8","Protein Coding","P41279","59","GC10P030915","22.321683883667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K8"
"SLC16A1-AS1","SLC16A1 Antisense RNA 1","RNA Gene","","25","GC01P113274","22.2240905761719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC16A1-AS1"
"POLR1HASP","POLR1H Antisense, Pseudogene","Pseudogene","","27","GC06M102801","22.1989116668701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR1HASP"
"IQANK1","IQ Motif And Ankyrin Repeat Containing 1","Protein Coding","A8MXQ7","27","GC08P147827","22.1970100402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQANK1"
"MIR486-1","MicroRNA 486-1","RNA Gene","","28","GC08M041660","22.1804027557373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR486-1"
"EPB41L4A-DT","EPB41L4A Divergent Transcript","RNA Gene","","29","GC05P112421","22.098352432251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L4A-DT"
"TCF7","Transcription Factor 7","Protein Coding","P36402","54","GC05P134344","21.9468555450439","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7"
"MIR198","MicroRNA 198","RNA Gene","","23","GC03M120395","21.9158782958984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR198"
"GPSM2","G Protein Signaling Modulator 2","Protein Coding","P81274","53","GC01P108875","21.8821907043457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPSM2"
"CEACAM5","CEA Cell Adhesion Molecule 5","Protein Coding","P06731","56","GC19P133123","21.7944183349609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM5"
"MALINC1","Mitosis Associated Long Intergenic Non-Coding RNA 1","RNA Gene","","23","GC05M140073","21.7643184661865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALINC1"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","65","GC22M021759","21.618839263916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"THADA","THADA Armadillo Repeat Containing","Protein Coding","Q6YHU6","49","GC02M043247","21.5948829650879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THADA"
"RUNX1T1","RUNX1 Partner Transcriptional Co-Repressor 1","Protein Coding","Q06455","52","GC08M091954","21.5564994812012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1T1"
"SGO1-AS1","SGO1 Antisense RNA 1","RNA Gene","","23","GC03P024440","21.5564994812012","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGO1-AS1"
"ERCC2","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","Protein Coding","P18074","61","GC19M045349","21.5160541534424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2"
"LINC02412","Long Intergenic Non-Protein Coding RNA 2412","RNA Gene","","20","GC12P093175","21.464038848877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02412"
"LINC01502","Long Intergenic Non-Protein Coding RNA 1502","RNA Gene","","17","GC09P147031","21.464038848877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01502"
"ENSG00000266919","Hsa-Mir-423","RNA Gene","","14","GC17M088871","21.464038848877","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000266919"
"GRM8","Glutamate Metabotropic Receptor 8","Protein Coding","O00222","57","GC07M126438","21.3986568450928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM8"
"NKX2-1","NK2 Homeobox 1","Protein Coding","P43699","61","GC14M036516","21.2509288787842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-1"
"XRCC1","X-Ray Repair Cross Complementing 1","Protein Coding","P18887","58","GC19M043543","20.7353591918945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XRCC1"
"LOC126860048","P300/CBP Strongly-Dependent Group 1 Enhancer GRCh37_chr7:55223847-55225046","Functional Element","","2","GC07P055157","20.7286319732666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126860048"
"GNAQ","G Protein Subunit Alpha Q","Protein Coding","P50148","61","GC09M077716","20.7023277282715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ"
"GNA11","G Protein Subunit Alpha 11","Protein Coding","P29992","59","GC19P003094","20.7023277282715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNA11"
"ADGRB3","Adhesion G Protein-Coupled Receptor B3","Protein Coding","O60242","51","GC06P068635","20.7023277282715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRB3"
"GSTP1","Glutathione S-Transferase Pi 1","Protein Coding","P09211","62","GC11P067583","20.5764389038086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1"
"SLMAP","Sarcolemma Associated Protein","Protein Coding","Q14BN4","51","GC03P061786","20.5444850921631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLMAP"
"PKHD1","PKHD1 Ciliary IPT Domain Containing Fibrocystin/Polyductin","Protein Coding","P08F94","50","GC06M100641","20.5444850921631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKHD1"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","P10415","63","GC18M063123","20.4922027587891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","64","GC02M025228","20.4793548583984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","P35354","62","GC01M186671","20.2962379455566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"LRRC56","Leucine Rich Repeat Containing 56","Protein Coding","Q8IYG6","47","GC11P014008","20.1141815185547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","P15692","61","GC06P043770","20.0609893798828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"GSTT1","Glutathione S-Transferase Theta 1","Protein Coding","P30711","43","GC22Mi00270","19.9304752349854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTT1"
"MIR34C","MicroRNA 34c","RNA Gene","","30","GC11P112711","19.7453441619873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34C"
"SOS1","SOS Ras/Rac Guanine Nucleotide Exchange Factor 1","Protein Coding","Q07889","64","GC02M039339","19.7260723114014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOS1"
"CDK6","Cyclin Dependent Kinase 6","Protein Coding","Q00534","64","GC07M092604","19.3022575378418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6"
"KDR","Kinase Insert Domain Receptor","Protein Coding","P35968","66","GC04M055078","19.0053329467773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","66","GC19M040230","18.9307804107666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"LCIIAR","Lung Cancer Immune Cell Infiltration Associated LncRNA","RNA Gene","","17","GC15P177162","18.7784366607666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCIIAR"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","P12931","63","GC20P037344","18.4995517730713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"MIR34A","MicroRNA 34a","RNA Gene","","31","GC01M019769","18.3853702545166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","65","GC05P068215","18.153018951416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"LOC126806658","BRD4-Independent Group 4 Enhancer GRCh37_chr3:41265899-41267098","Functional Element","","11","GC03P041224","18.0237922668457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126806658"
"PVT1","Pvt1 Oncogene","RNA Gene","","34","GC08P128246","17.9790077209473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PVT1"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","17.9680919647217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"FHIT","Fragile Histidine Triad Diadenosine Triphosphatase","Protein Coding","P49789","55","GC03M059747","17.8801460266113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FHIT"
"TP73","Tumor Protein P73","Protein Coding","O15350","58","GC01P003652","17.7097568511963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP73"
